"year","total forcing"
1850,0.40539615
1851,0.39862512
1852,0.40052091
1853,0.3934753
1854,0.38414144
1855,0.24282623
1856,-0.21107251
1857,-0.44449029
1858,-0.096836341
1859,0.26210904
1860,0.39070948
1861,0.35779049
1862,0.2581144
1863,0.26390439
1864,0.33623394
1865,0.37076405
1866,0.3750448
1867,0.37953974
1868,0.40476502
1869,0.44070511
1870,0.4698686
1871,0.46881912
1872,0.42277264
1873,0.36978899
1874,0.353734715
1875,0.332461
1876,0.28830947
1877,0.29298153
1878,0.33420941
1879,0.368246
1880,0.39995496
1881,0.42920523
1882,0.33982025
1883,-0.56353326
1884,-1.3017754
1885,-0.71893884
1886,-0.23580858
1887,-0.11721518
1888,-0.016598936
1889,-0.08450957
1890,-0.12348587
1891,-0.02816829
1892,0.17145477
1893,0.34036723
1894,0.45854671
1895,0.43496617
1896,0.26290903
1897,0.16316606
1898,0.25869933
1899,0.36799034
1900,0.41475781
1901,0.39849017
1902,-0.041670226
1903,-0.40336913
1904,-0.081701345
1905,0.28507922
1906,0.389716
1907,0.36949981
1908,0.38664275
1909,0.45257997
1910,0.47406745
1911,0.47502449
1912,0.23787245
1913,0.1428922
1914,0.38792615
1915,0.54484665
1916,0.61946613
1917,0.65507998
1918,0.66254981
1919,0.64062566
1920,0.53860773
1921,0.51390834
1922,0.59917404
1923,0.6188415
1924,0.62160553
1925,0.65690052
1926,0.70124531
1927,0.72125112
1928,0.67462867
1929,0.62401289
1930,0.65251894
1931,0.6785285
1932,0.64515032
1933,0.65684612
1934,0.717063655
1935,0.77329698
1936,0.83155121
1937,0.84505011
1938,0.833606
1939,0.83751216
1940,0.84838382
1941,0.84065291
1942,0.79637885
1943,0.77291049
1944,0.8014979
1945,0.84012487
1946,0.87434778
1947,0.88946972
1948,0.89886532
1949,0.87852081
1950,0.84163896
1951,0.80135099
1952,0.76630996
1953,0.74610376
1954,0.75480507
1955,0.81537626
1956,0.89909856
1957,0.96679968
1958,0.98244834
1959,0.96883259
1960,0.88020351
1961,0.75156663
1962,0.64515114
1963,0.1620533
1964,-0.18567194
1965,0.16267508
1966,0.59334428
1967,0.76875547
1968,0.60919867
1969,0.57531732
1970,0.84740204
1971,1.0370201
1972,1.0974394
1973,1.0624488
1974,0.91537051
1975,0.82176973
1976,0.97769425
1977,1.1988289
1978,1.2758337
1979,1.3561905
1980,1.466064
1981,1.4077614
1982,0.71477621
1983,0.40876639
1984,0.95187721
1985,1.2513234
1986,1.3423653
1987,1.4352832
1988,1.5760874
1989,1.7006148
1990,1.7456356
1991,0.80674072
1992,0.18316716
1993,0.8971375
1994,1.436801
1995,1.6412118
1996,1.7378777
1997,1.8156668
1998,1.9242133
1999,2.0332219
2000,-0.300668224688334
2001,1.3296978647794
2002,1.35863112178948
2003,1.38802715010216
2004,1.41798712151619
2005,1.44865879836815
2006,1.48024390752565
2007,1.51304299229103
2008,1.55268725708203
2009,1.68106831635405
2010,1.87724509868962
2011,1.75947712807472
2012,1.70971792191132
2013,1.74897833291859
2014,1.79518138182098
2015,1.84220067861183
2016,1.88894848105909
2017,1.93423532525505
2018,1.97687721444399
2019,2.01587903593089
2020,2.05063635998782
2021,2.08115989047094
2022,2.10834023255199
2023,2.13422196585817
2024,2.16208198410716
2025,2.19587051067395
2026,2.23859993578488
2027,2.2899619930834
2028,2.34464298623199
2029,2.39330377500863
2030,2.42674969078587
2031,2.44103826207904
2032,2.43983994139581
2033,2.43222066480723
2034,2.42764604228259
2035,2.43186617034583
2036,2.44591803471346
2037,2.46773304824041
2038,2.49837803630045
2039,2.64917746065107
2040,2.94830080906765
2041,2.70903132601655
2042,2.61704057528747
2043,2.64255997537451
2044,2.67179466961528
2045,2.70068030180385
2046,2.72917938649033
2047,2.75727010395674
2048,2.78493153975967
2049,2.8121486241494
2050,3.0710408836542
2051,2.86514256490879
2052,2.89087966107211
2053,2.91609202210135
2054,2.94075100814739
2055,2.96482454401975
2056,2.98825651782454
2057,3.0109213307868
2058,3.02849213334879
2059,2.9121589593697
2060,2.61446124680416
2061,2.94421037557287
2062,3.08925439097155
2063,3.09393063178366
2064,3.08465171317037
2065,3.0649507656584
2066,3.03674275774008
2067,3.0049704652909
2068,2.97711176694186
2069,2.96141197955056
2070,2.96434810531588
2071,2.98837609290657
2072,3.03102980418935
2073,3.08582204577024
2074,3.14449730583226
2075,3.19956750439034
2076,3.2460796570747
2077,3.28211671374384
2078,3.30554876458875
2079,3.17755795135722
2080,2.77147210031539
2081,3.19841362728874
2082,3.35057991330837
2083,3.35774555093561
2084,3.36110489212147
2085,3.36356062957341
2086,3.36521940321336
2087,3.36612636364869
2088,3.36630246409882
2089,3.36575966150253
2090,3.36450693882407
2091,3.36255241698697
2092,3.35990399365775
2093,3.35656948754642
2094,3.35255663538772
2095,3.34787305176154
2096,3.34252618345387
2097,3.33652326687799
2098,3.32987129088659
2099,3.32257696576902
2100,3.31464669883053
